radius,ratio,max_rss,time
25,0.4,18.1138,383
25,0.8,25.3822,857
25,1.2,35.0408,1433
25,1.6,38.6675,1784
25,2,41.7744,2710
50,0.4,10.327,108
50,0.8,12.961,184
50,1.2,15.2103,314
50,1.6,18.5972,420
50,2,19.7741,641
75,0.4,10.3279,46
75,0.8,10.5943,91
75,1.2,12.4069,142
75,1.6,14.7697,191
75,2,15.4283,246
100,0.4,10.3081,37
100,0.8,10.6752,66
100,1.2,11.5228,90
100,1.6,12.8882,129
100,2,13.4347,189
125,0.4,10.1129,30
125,0.8,10.4961,49
125,1.2,11.0974,73
125,1.6,12.0847,104
125,2,13.4532,128
